No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,1.04B,1.05,1.93,-5.39%,"20,723,554"
2,DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,790.02M,-,5.56,-1.59%,"3,929,154"
3,GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,77.99B,-,8.94,-1.11%,"34,968,133"
4,F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,36.79B,17.93,9.16,0.88%,"21,509,244"
5,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,14.10B,16.11,9.57,-0.83%,"11,987,861"
6,AMCR,Amcor plc,Consumer Goods,Packaging & Containers,Switzerland,15.55B,17.14,9.75,0.21%,"5,694,698"
7,OI,"Owens-Illinois, Inc.",Consumer Goods,Packaging & Containers,USA,1.60B,11.08,10.27,2.39%,"2,250,934"
8,MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,9.98B,10.40,12.27,0.57%,"9,005,827"
9,CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,13.78B,-,12.48,0.73%,"11,717,592"
10,FOSL,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,614.87M,18.70,12.51,1.79%,"1,283,303"
11,NAVI,Navient Corporation,Financial,Credit Services,USA,3.02B,7.13,12.80,0.12%,"1,545,801"
12,DLPH,Delphi Technologies PLC,Consumer Goods,Auto Parts,United Kingdom,1.18B,5.47,13.40,1.90%,"1,205,364"
13,NWSA,News Corporation,Services,Broadcasting - TV,USA,8.25B,52.73,13.92,0.43%,"1,881,156"
14,HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,14.71B,11.32,14.27,-0.56%,"5,242,076"
15,NWS,News Corporation,Services,Broadcasting - TV,USA,-,54.98,14.30,0.88%,"572,639"
16,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,20.24B,20.87,15.17,1.13%,"11,140,641"
17,HBI,Hanesbrands Inc.,Consumer Goods,Textile - Apparel Clothing,USA,5.51B,10.00,15.32,1.39%,"3,509,578"
18,M,"Macy's, Inc.",Services,Department Stores,USA,4.81B,4.81,15.54,1.64%,"9,525,086"
19,PBCT,"People's United Financial, Inc.",Financial,Savings & Loans,USA,6.22B,12.24,15.64,-0.51%,"2,254,168"
20,RF,Regions Financial Corporation,Financial,Regional - Southeast Banks,USA,15.72B,11.32,15.82,-0.88%,"6,976,548"
21,AES,The AES Corporation,Utilities,Electric Utilities,USA,10.85B,26.44,16.34,0.18%,"3,331,238"
22,IVZ,Invesco Ltd.,Financial,Asset Management,USA,7.88B,11.51,16.94,-0.47%,"4,247,061"
23,HST,"Host Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,12.78B,11.67,17.29,1.05%,"8,469,954"
24,GPS,"The Gap, Inc.",Services,Apparel Stores,USA,6.45B,6.83,17.36,1.05%,"4,003,280"
25,COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,7.42B,9.11,17.57,0.23%,"8,071,239"
26,KEY,KeyCorp,Financial,Regional - Midwest Banks,USA,17.83B,10.68,17.84,-0.11%,"6,264,657"
27,UA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,-,96.95,18.13,1.91%,"1,172,966"
28,NKTR,Nektar Therapeutics,Healthcare,Biotechnology,USA,3.18B,-,18.22,1.76%,"3,204,877"
29,NWL,Newell Brands Inc.,Consumer Goods,Housewares & Accessories,USA,7.97B,-,18.72,2.86%,"9,552,990"
30,HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,16.99B,12.88,18.85,0.64%,"9,883,414"
31,HPQ,HP Inc.,Technology,Diversified Computer Systems,USA,28.36B,6.95,18.92,2.10%,"24,391,650"
32,LB,"L Brands, Inc.",Services,Apparel Stores,USA,5.43B,9.51,19.59,3.43%,"3,753,537"
33,MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,10.45B,520.53,19.78,2.54%,"5,559,761"
34,UAA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,8.67B,105.50,19.94,1.89%,"2,985,158"
35,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.79B,-,20.07,-2.62%,"3,275,353"
36,MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,7.79B,30.97,20.50,1.18%,"3,285,852"
37,KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,46.32B,20.53,20.61,-0.29%,"7,111,752"
38,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,8.78B,26.00,20.88,0.14%,"4,778,761"
39,NOV,"National Oilwell Varco, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,8.19B,-,21.20,-3.81%,"5,483,029"
40,NLSN,Nielsen Holdings plc,Technology,Information & Delivery Services,USA,7.67B,-,21.25,0.95%,"5,240,119"
41,IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,8.33B,12.97,21.56,0.70%,"3,280,644"
42,NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,10.85B,-,22.46,0.00%,"4,094,600"
43,WU,The Western Union Company,Financial,Credit Services,USA,9.96B,8.18,23.17,0.52%,"6,205,424"
44,BHGE,"Baker Hughes, a GE company",Basic Materials,Oil & Gas Equipment & Services,USA,23.71B,181.25,23.20,-3.49%,"8,175,388"
45,HRB,"H&R Block, Inc.",Services,Personal Services,USA,4.80B,11.20,23.62,1.24%,"3,343,999"
46,SYMC,Symantec Corporation,Technology,Security Software & Services,USA,14.75B,284.70,23.63,0.55%,"3,222,333"
47,VIAB,Viacom Inc.,Services,Entertainment - Diversified,USA,9.82B,6.01,24.03,0.21%,"4,209,539"
48,WMB,"The Williams Companies, Inc.",Basic Materials,Oil & Gas Pipelines,USA,29.16B,348.70,24.06,-0.58%,"5,805,461"
49,DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,9.79B,9.39,24.06,-0.78%,"3,920,396"
50,FTI,TechnipFMC plc,Basic Materials,Oil & Gas Equipment & Services,USA,10.82B,-,24.14,-0.17%,"3,847,141"
51,DISCK,"Discovery, Inc.",Services,CATV Systems,USA,-,11.94,24.62,-0.36%,"2,160,345"
52,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,8.52B,17.52,24.75,-0.48%,"2,374,210"
53,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,9.65B,-,25.60,-0.39%,"3,767,549"
54,KR,The Kroger Co.,Services,Grocery Stores,USA,20.70B,12.76,25.78,0.16%,"6,116,403"
55,TPR,"Tapestry, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,7.53B,12.40,26.05,0.23%,"5,316,645"
56,DISCA,"Discovery, Inc.",Services,CATV Systems,USA,13.44B,11.11,26.63,-0.63%,"2,745,992"
57,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,12.09B,8.12,26.97,-0.15%,"5,109,754"
58,FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,20.21B,9.23,27.38,-0.36%,"3,654,781"
59,WY,Weyerhaeuser Company,Industrial Goods,"Lumber, Wood Production",USA,20.72B,-,27.70,-0.32%,"2,462,791"
60,MGM,MGM Resorts International,Services,Resorts & Casinos,USA,14.67B,82.99,27.72,1.65%,"4,494,465"
61,KHC,The Kraft Heinz Company,Consumer Goods,Food - Major Diversified,USA,34.29B,-,27.93,0.34%,"4,796,227"
62,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Chemicals,USA,20.98B,-,28.00,0.72%,"6,231,305"
63,URBN,"Urban Outfitters, Inc.",Services,Apparel Stores,USA,2.62B,11.58,28.09,7.21%,"4,884,016"
64,GLW,Corning Incorporated,Technology,Diversified Electronics,USA,22.27B,17.22,28.52,0.49%,"5,000,054"
65,BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,14.55B,11.40,28.86,0.80%,"2,704,961"
66,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,32.76B,154.20,28.99,0.94%,"37,295,604"
67,BAC,Bank of America Corporation,Financial,Money Center Banks,USA,277.79B,10.38,29.17,-0.61%,"39,096,269"
68,UNM,Unum Group,Financial,Accident & Health Insurance,USA,6.27B,11.95,29.72,0.41%,"1,723,224"
69,XRX,Xerox Holdings Corporation,Technology,Information Technology Services,USA,6.63B,12.49,29.91,-1.38%,"2,197,222"
70,NI,NiSource Inc.,Utilities,Diversified Utilities,USA,11.37B,99.73,29.92,-0.37%,"3,632,429"
71,CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,15.22B,26.61,30.18,0.60%,"5,390,684"
72,CAG,"Conagra Brands, Inc.",Consumer Goods,Processed & Packaged Goods,USA,15.28B,20.09,30.68,1.32%,"4,590,201"
73,LKQ,LKQ Corporation,Consumer Goods,Auto Parts,USA,9.72B,23.51,31.45,0.38%,"2,196,743"
74,PPL,PPL Corporation,Utilities,Electric Utilities,USA,22.82B,12.93,31.49,-0.35%,"6,773,997"
75,FOXA,Fox Corporation,Services,Entertainment - Diversified,USA,19.58B,12.28,31.53,0.30%,"3,152,790"
76,FOX,Fox Corporation,Services,Entertainment - Diversified,USA,-,12.28,31.54,0.19%,"700,216"
77,MAC,Macerich Company,Financial,REIT - Retail,USA,4.45B,41.24,31.59,-2.23%,"1,746,424"
78,IRM,Iron Mountain Incorporated,Technology,Business Software & Services,USA,9.22B,25.93,32.39,0.65%,"2,250,579"
79,FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,18.73B,24.81,32.67,1.37%,"3,358,192"
80,CPRI,Capri Holdings Limited,Consumer Goods,Textile - Apparel Clothing,United Kingdom,5.04B,12.48,33.16,1.66%,"2,414,022"
81,JWN,"Nordstrom, Inc.",Services,Apparel Stores,USA,5.11B,11.16,33.67,2.37%,"2,259,107"
82,DRE,Duke Realty Corporation,Financial,REIT - Industrial,USA,12.30B,53.08,33.97,-0.21%,"2,081,743"
83,DISH,DISH Network Corporation,Services,CATV Systems,USA,16.79B,12.58,34.07,0.19%,"1,753,469"
84,ROL,"Rollins, Inc.",Services,Business Services,USA,11.28B,49.09,34.07,1.88%,"2,415,507"
85,SYF,Synchrony Financial,Financial,Credit Services,USA,22.64B,7.10,34.09,1.40%,"4,189,455"
86,SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,47.55B,22.72,34.17,-0.47%,"9,582,427"
87,CFG,"Citizens Financial Group, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,16.20B,9.63,35.37,-0.03%,"2,718,656"
88,HCP,"HCP, Inc.",Financial,REIT - Healthcare Facilities,USA,17.43B,17.73,35.63,0.31%,"3,107,310"
89,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - Major,USA,199.84B,17.57,35.93,-0.80%,"16,109,198"
90,HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,USA,5.71B,13.21,35.97,0.73%,"1,786,709"
91,WRK,WestRock Company,Consumer Goods,Packaging & Containers,USA,9.34B,12.86,36.45,-0.08%,"2,142,117"
92,PHM,"PulteGroup, Inc.",Industrial Goods,Residential Construction,USA,10.10B,11.08,36.55,1.75%,"2,684,556"
93,BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,7.61B,9.67,36.68,0.80%,"1,238,194"
